SenderSetup.xml loaded!
sending to host: localhost Port: 4000
Connecting to localhost:801 ...
.Segment Data Enabled: False
Marker Data Enabled: True
Unlabeled Marker Data Enabled: False
Device Data Enabled: False
 12105/M_3 185.279 1358.98 1155.88
 12108/M_1 167.632 1410.76 1192.65
 12108/M_2 182.485 1377.51 1174.38
 12108/M_3 181.667 1358.23 1156.21
 12111/M_1 164.59 1410.44 1192.93
 12111/M_2 179.442 1377.26 1174.46
 12111/M_3 177.992 1357.54 1156.52
 12114/M_1 161.536 1410.02 1193.21
 12114/M_2 176.232 1376.7 1174.83
 12114/M_3 175.515 1357.54 1156.74
 12117/M_1 158.208 1409.44 1193.73
 12117/M_2 173.009 1376.25 1175.45
 12117/M_3 173.898 1358.22 1157.24
 12120/M_1 154.77 1408.91 1194.52
Frame Number: 12120 Latency: 0s  Markers: 3
 12120/M_2 169.51 1375.48 1176.41
 12120/M_3 169.23 1356.66 1158.06
 12123/M_1 151.191 1408.31 1195.48
 12123/M_2 165.869 1374.97 1177.23
 12123/M_3 164.38 1355.2 1159.22
 12126/M_1 147.316 1407.84 1196.53
 12126/M_2 161.897 1374.44 1178.38
 12126/M_3 161.486 1355.39 1160.11
 12129/M_1 142.966 1407.28 1197.9
 12129/M_2 157.818 1373.87 1179.76
 12129/M_3 156.976 1354.62 1161.57
 12132/M_1 138.55 1406.63 1199.46
 12132/M_2 153.395 1373.35 1181.27
 12132/M_3 152.756 1354.25 1162.88
