SenderSetup.xml loaded!
sending to host: localhost Port: 4000
Connecting to localhost:801 ...
.Segment Data Enabled: False
Marker Data Enabled: True
Unlabeled Marker Data Enabled: False
Device Data Enabled: False
... 2033/M_1 0 0 0
 2483/M_2 159.113 1174.39 1781.06
 2483/M_3 174.991 1148.63 1791.9
 2486/M_1 180.669 1119.22 1790.78
 2486/M_2 158.677 1175.3 1781.5
 2486/M_3 174.716 1149.63 1792.22
 2490/M_1 180.158 1119.95 1790.58
Frame Number: 2490 Latency: 0s  Markers: 3
 2490/M_2 158.132 1176.08 1781.61
 2490/M_3 174.231 1150.37 1792.17
 2494/M_1 179.544 1121.07 1789.27
 2494/M_2 157.558 1177.25 1780.82
 2494/M_3 173.67 1151.43 1791.02
 2498/M_1 179.054 1123.78 1786.82
 2498/M_2 156.459 1179.82 1778.89
 2498/M_3 172.915 1154.09 1788.75
 2501/M_1 178.691 1126.91 1784.3
 2501/M_2 155.59 1182.8 1776.85
 2501/M_3 172.356 1157.14 1786.47
 2505/M_1 178.302 1132.55 1780.08
 2505/M_2 154.369 1188.3 1773.54
 2505/M_3 171.592 1162.7 1782.64
 2509/M_1 177.706 1140.37 1775.37
 2509/M_2 152.856 1195.77 1769.85
 2509/M_3 170.517 1170.34 1778.41
 2513/M_1 177.088 1150.54 1770.17
 2513/M_2 150.973 1205.48 1765.96
 2513/M_3 169.329 1180.33 1773.77
 2517/M_1 176.956 1163.24 1764.14
 2517/M_2 149.208 1217.47 1761.56
 2517/M_3 168.382 1192.68 1768.51
 2521/M_1 177.291 1178.73 1757.64
 2521/M_2 147.755 1232.09 1756.75
 2521/M_3 167.887 1207.79 1762.72
 2525/M_1 178.4 1197.69 1750.66
 2525/M_2 146.52 1249.66 1751.38
 2525/M_3 167.804 1226.26 1756.43
 2529/M_1 180.792 1220.09 1743.76
 2529/M_2 145.755 1270.03 1746.15
 2529/M_3 168.42 1247.79 1750.2
 2533/M_1 183.414 1244.25 1736.91
 2533/M_2 145.988 1292.48 1741.55
 2533/M_3 169.809 1271.34 1744.65
 2537/M_1 186.179 1269.55 1730.72
 2537/M_2 146.853 1316.23 1737.7
 2537/M_3 171.607 1296 1739.8
 2541/M_1 188.999 1295.91 1725.9
 2541/M_2 148.033 1340.67 1734.87
 2541/M_3 173.625 1321.57 1736.21
 2545/M_1 192.21 1323.2 1722.94
 2545/M_2 149.382 1365.56 1733.44
 2545/M_3 175.989 1347.71 1734.06
 2549/M_1 196.464 1349.94 1721.54
 2549/M_2 151.958 1390.09 1733.6
 2549/M_3 179.312 1373.33 1733.52
 2553/M_1 201.511 1375.83 1721
 2553/M_2 155.684 1413.86 1734.88
 2553/M_3 183.561 1398.06 1734.17
 2557/M_1 206.77 1401.52 1721.74
 2557/M_2 159.081 1437.05 1736.62
 2557/M_3 187.613 1422.77 1735.96
 2561/M_1 211.699 1426.58 1723.31
 2561/M_2 162.239 1459.63 1738.85
 2561/M_3 191.21 1446.68 1738.19
 2565/M_1 216.475 1449.85 1725.32
 2565/M_2 165.567 1480.93 1741.29
 2565/M_3 195.423 1468.46 1740.03
 2569/M_1 220.822 1471.17 1728.47
 2569/M_2 168.474 1500.46 1744.03
 2569/M_3 198.886 1488.73 1743.08
 2573/M_1 225.139 1489.91 1731.91
 2573/M_2 172.045 1517.34 1746.91
 2573/M_3 202.599 1506.49 1746.82
 2577/M_1 229.021 1505.34 1735.59
 2577/M_2 175.522 1531.89 1750.07
 2577/M_3 206.121 1521.37 1750.43
 2581/M_1 232.552 1517.87 1739.63
 2581/M_2 178.509 1543.79 1753.23
 2581/M_3 209.172 1533.55 1754.04
 2585/M_1 235.401 1526.98 1743.28
 2585/M_2 181.158 1552.67 1756.42
 2585/M_3 211.91 1542.53 1757.63
 2589/M_1 237.631 1533.34 1746.79
 2589/M_2 183.076 1558.7 1759.47
 2589/M_3 213.816 1548.63 1760.91
 2593/M_1 238.801 1537.25 1749.56
 2593/M_2 184.105 1562.43 1761.85
 2593/M_3 214.935 1552.49 1763.54
 2597/M_1 239.274 1539.51 1751.67
 2597/M_2 184.184 1564.37 1763.78
 2597/M_3 215.149 1554.64 1765.48
 2601/M_1 238.842 1540.19 1753.35
 2601/M_2 183.329 1564.77 1765.2
 2601/M_3 214.568 1555.23 1766.98
 2605/M_1 237.987 1539.52 1754.68
 2605/M_2 182.085 1563.81 1766.13
 2605/M_3 213.4 1554.26 1768
 2609/M_1 237.064 1537.8 1755.49
 2609/M_2 181.297 1561.87 1766.36
 2609/M_3 212.502 1552.65 1768.6
 2613/M_1 236.301 1535.25 1755.89
 2613/M_2 180.518 1559.45 1766.5
 2613/M_3 211.745 1550.26 1768.9
 2617/M_1 235.837 1532.58 1756.08
 2617/M_2 180.065 1556.76 1766.3
 2617/M_3 211.214 1547.63 1768.86
 2621/M_1 235.703 1530.46 1756.26
 2621/M_2 179.78 1554.25 1766.01
 2621/M_3 210.882 1545.53 1768.92
 2625/M_1 236.776 1528.97 1756.6
 2625/M_2 180.647 1552.45 1765.73
 2625/M_3 211.425 1544.28 1769.09
 2629/M_1 240.591 1528.51 1757.74
 2629/M_2 184.167 1551.45 1765.75
 2629/M_3 214.872 1543.66 1769.67
 2632/M_1 246.501 1528.6 1759.46
 2632/M_2 189.883 1551.18 1766.13
 2632/M_3 220.547 1543.62 1770.7
 2636/M_1 260.538 1527.71 1764.01
 2636/M_2 203.863 1550.65 1767.62
 2636/M_3 234.361 1542.92 1773.8
 2640/M_1 281.836 1521.82 1770.95
Frame Number: 2640 Latency: 0s  Markers: 3
 2640/M_2 226.208 1547.52 1771.08
 2640/M_3 256.405 1538.07 1779.21
 2644/M_1 306.428 1508.57 1780.36
 2644/M_2 253.45 1538.46 1776.54
 2644/M_3 281.227 1526.2 1786.52
 2648/M_1 331.723 1488.04 1790.54
 2648/M_2 281.143 1522.38 1783.18
 2648/M_3 307.255 1508.13 1795.01
 2652/M_1 353.048 1461.65 1801.73
 2652/M_2 306.423 1499.41 1790.95
 2652/M_3 330.866 1483.47 1804.21
 2656/M_1 370.54 1430.77 1813.03
 2656/M_2 327.09 1471.53 1799.72
 2656/M_3 349.951 1454.27 1814.13
 2660/M_1 382.427 1398.46 1825.05
Frame Number: 2660 Latency: 0s  Markers: 3
 2660/M_2 341.872 1441.11 1808.76
 2660/M_3 363.207 1423.16 1824.62
 2664/M_1 389.229 1366.09 1837.35
 2664/M_2 351.267 1410 1818.26
 2664/M_3 371.356 1391.9 1835.87
 2668/M_1 392.146 1333.32 1848.41
 2668/M_2 356.932 1378.9 1828.02
 2668/M_3 376.011 1360.12 1846.36
 2672/M_1 392.088 1301.42 1858.71
 2672/M_2 359.305 1348.84 1837.61
 2672/M_3 377.028 1329.16 1855.96
 2676/M_1 388.609 1271.64 1868.3
 2676/M_2 357.971 1320.62 1846.71
 2676/M_3 374.594 1299.96 1865.12
 2680/M_1 382.12 1243.78 1876.52
Frame Number: 2680 Latency: 0s  Markers: 3
 2680/M_2 353.685 1293.84 1854.62
 2680/M_3 369.363 1272.46 1872.95
 2684/M_1 372.746 1218.6 1882.98
 2684/M_2 346.208 1269.28 1860.54
 2684/M_3 361.333 1247.74 1879.31
 2688/M_1 360.554 1196.01 1887.55
 2688/M_2 335.412 1247.11 1864.92
 2688/M_3 350.172 1225.45 1883.71
 2692/M_1 345.446 1174.65 1890.26
 2692/M_2 321.977 1226.81 1868.41
 2692/M_3 336.546 1204.48 1886.74
 2696/M_1 327.668 1155.49 1891.16
 2696/M_2 305.889 1208.95 1870.59
 2696/M_3 320.059 1185.9 1888.31
 2700/M_1 307.234 1139.18 1890.34
Frame Number: 2700 Latency: 0s  Markers: 3
 2700/M_2 286.541 1193.46 1871.05
 2700/M_3 300.57 1169.87 1887.98
 2704/M_1 285.068 1125.48 1887.27
 2704/M_2 264.943 1180.29 1869.19
 2704/M_3 278.74 1156.1 1885.1
 2708/M_1 261.401 1113.72 1881.92
 2708/M_2 242.113 1169.12 1865.23
 2708/M_3 255.927 1144.44 1880.24
 2712/M_1 237.587 1104.9 1874.43
 2712/M_2 218.539 1160.79 1859.13
 2712/M_3 232.875 1135.68 1873.16
 2716/M_1 213.387 1098.01 1865.29
 2716/M_2 194.948 1154.6 1851.46
 2716/M_3 209.268 1128.83 1864.45
 2720/M_1 188.637 1092.78 1853.72
Frame Number: 2720 Latency: 0s  Markers: 3
 2720/M_2 171.764 1150.39 1842.01
 2720/M_3 185.767 1123.86 1853.81
 2724/M_1 165.06 1091.25 1839.65
 2724/M_2 148.61 1149.34 1830.21
 2724/M_3 162.483 1122.36 1840.19
 2728/M_1 142.657 1092.75 1822.86
 2728/M_2 126.172 1151.22 1815.61
 2728/M_3 140.842 1123.89 1824.35
 2732/M_1 123.253 1098.52 1804.08
 2732/M_2 105.427 1156.77 1799.43
 2732/M_3 120.752 1129.18 1806.2
 2736/M_1 104.763 1107.19 1783.58
 2736/M_2 86.7765 1165.67 1782.32
 2736/M_3 102.55 1137.93 1787.11
 2740/M_1 88.466 1119.59 1762.08
Frame Number: 2740 Latency: 0s  Markers: 3
 2740/M_2 70.6913 1178.18 1764.8
 2740/M_3 86.8915 1150.42 1767.21
 2744/M_1 75.4906 1136.73 1740.86
 2744/M_2 56.8591 1194.83 1747.53
 2744/M_3 73.8673 1167.43 1747.5
 2748/M_1 66.5357 1158.08 1720.79
 2748/M_2 46.0584 1215.08 1731.51
 2748/M_3 64.1241 1188.55 1729.16
 2752/M_1 61.9771 1183.25 1702.48
 2752/M_2 39.4189 1238.71 1717.43
 2752/M_3 58.6294 1213.32 1712.74
 2756/M_1 62.0629 1211.91 1686.89
 2756/M_2 37.5211 1265.09 1704.99
 2756/M_3 57.7642 1240.97 1698.39
 2760/M_1 66.9653 1242.49 1673.04
Frame Number: 2760 Latency: 0s  Markers: 3
 2760/M_2 40.0952 1293.21 1694.41
 2760/M_3 61.4227 1270.85 1686.13
 2763/M_1 72.9163 1265.94 1664.35
 2763/M_2 44.4173 1314.78 1687.63
 2763/M_3 66.4245 1293.32 1678.69
 2767/M_1 83.9851 1297.32 1654.28
 2767/M_2 53.3926 1343.98 1679.42
 2767/M_3 75.8263 1323.28 1669.47
 2771/M_1 97.1878 1327.94 1646.39
 2771/M_2 64.7564 1372.45 1673.29
 2771/M_3 88.1561 1353.02 1662.82
 2775/M_1 113.131 1357.85 1641.82
 2775/M_2 77.5878 1399.32 1669.56
 2775/M_3 102.196 1381.43 1659.1
 2779/M_1 130.094 1384.11 1638.61
 2779/M_2 93.0871 1424.17 1666.89
 2779/M_3 118.168 1406.95 1656.26
 2782/M_1 144.19 1401.92 1638.1
